index,artist_id,artist_name,artist_popularity,genre,followers
"0",5zXtHMXWMNFxDtGlIXiZSR,Sear Lui-meme,"0","","0"
"0",4X4RaPRuVyNe0X1d0uHG1H,Manu Destroy,7,"",473
"0",1gvykSoZ2FsfbsnKywDQnW,Y.LOH,17,"",552
"0",4FmcU2vx3x5fEMvM7krUWg,El Fredo,"0","",22
"0",56hWAbx9Fo0yoL2J4qfGQw,Les Kassyep,"0","",18
"0",40NUBntn4B4QdH3JK5EKF8,The Lampoliers,10,"",32
"0","0ng8hHDTTNBgzjDiLBBjBs",Mekhlouf,"0","",51
"0",7D5Mw6gNrGgm8XayFOmgFd,Sisyfoksen Kivi,"0","",3
"0",28bBgmhr7ccrIxVoPpYSHS,Eikiro,"0","",2224
"0",1cRhxmFvL3Ef4vx4jSCy04,Mafia K'1 Fry,38,"french hip hop, rap conscient",161553
"0",55ncykRWLJ5PEvB2nN1MKd,93 lyrics,"0","",23
"0",6hbenmQJ0jeL3FfmhPmSzn,Sal'Goss,"0","",12
"0",46C2oCnieGFjcK19xjcvok,Billy The Kicks,"0","",91
"0",7hR9WaSUhTHZ13BrYYd2JQ,Rev. A.J. Washington And The Mighty Supreme Voices,"0","",3
"0",6qmXVSFnYPtEQGe2vJiw96,6éme sens,"0","",10
"0",5X6mheZxWRLwTz0JBdbbqD,Mafia Maghrebine,"0","",92
"0",4Dt9kuoFCNwCTndlyyv9Ip,Jack TK,"0","","0"
"0",2RTHPSh5abfQiA6kgKubMa,Zindib,"0","",1
"0",7AJqdCjsr6mASFH9TqPeyr,VVS LA,"0","","0"
"0",3UlzVFZSlT3ZQZs3w0ADKf,Les Zakariens,2,"",653
"0",165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit,74,"alternative metal, funk metal, nu metal, rap metal",4881844
"0",6gcXOa9ncLivvQHMl1sJU1,Pejmaxx,31,"french hip hop, rap inde",8708
"0","0Eh3yFYMU0c1sBsmlG0Ulj",TSR Crew,41,"french hip hop, rap inde",80494
"0",7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,84,"baton rouge rap, trap",10126497
"0",4iQZoDs2C4Cn8agcLLhVFD,LALCKO,"0","",1
"0",5nvwUoUqHqQ1owKQjVE4xe,grodash,"0","","0"
"0","0odliLZMTk45CEVzF3Zocl",Mozart La Para,54,"dembow, dominican pop, rap dominicano",391671
"0",1t0J25AbKZVZMIc9CKZKY3,Tonio Banderas,2,"",47
"0",1PTl9q5EaEZejVGts7MBLN,Mac Tyer,50,"francoton, french hip hop, pop urbaine, rap francais",335639
"0",5p9kx3T4qpQIq88fibnUeN,Haroun,42,"french hip hop, rap inde",18701
"0",6lh7vDO9GPAbyQ7PhT2a80,winnterzuko,50,"french hip hop, hyperpop francais, rap calme",27059
"0",2quhaEEtVvUNS0HwL1EJNn,Benjamin Epps,43,"",33725
"0","0c173mlxpT3dSFRgMO8XPh",Big Sean,78,"detroit hip hop, hip hop, pop, pop rap, rap, southern hip hop, trap",10286176
"0",496DwthDgbHUwWycngajrJ,Yoshihisa Hirano,51,anime score,34907
"0",2i0fyf4wdUQ0EgOO77h0QS,.23way,"0","","0"
"0",7LfL4UTpALDoTOTgKRZThO,LSO Chamber Ensemble,28,"chamber ensemble, chamber orchestra",103
"0",7kjI3XPxL8xzpvyiG22wCR,A.Story,20,"",2
"0",3k8vhKepBT8rNmDEJTGMTm,Kemal Golden,30,"",74
"0",3rwuL832T3qWNRea2mgNBl,C.Sen,15,"french hip hop, rap inde",2235
"0","0noD1tUbBty2LsLBQncdU8",Tito Prince,22,rap chretien,10164
"0",25yJrwrn5I0EUdQEiTtNSO,Lefa,57,"francoton, french hip hop, pop urbaine, rap calme, rap conscient, rap francais",521149
